"index","citations","year","Title"
"1854","80","2000","A PAC-Bayesian Margin Bound for Linear Classifiers: Why SVMs work"
"1855","116","2000","Speech Denoising and Dereverberation Using Probabilistic Models"
"1856","53","2000","Explaining Away in Weight Space"
"1857","267","2000","A New Approximate Maximal Margin Classification Algorithm"
"1858","12","2000","Temporally Dependent Plasticity: An Information Theoretic Account"
"1859","26","2000","Balancing Multiple Sources of Reward in Reinforcement Learning"
"1860","323","2000","Sparse Greedy Gaussian Process Regression"
"1861","251","2000","A Linear Programming Approach to Novelty Detection"
"1862","6","2000","Accumulator Networks: Suitors of Local Probability Propagation"
"1863","67","2000","From Margin to Sparsity"
"1864","3","2000","Divisive and Subtractive Mask Effects: Linking Psychophysics and Biophysics"
"1865","2","2000","Decomposition of Reinforcement Learning for Admission Control of Self-Similar Call Arrival Processes"
"1866","4","2000","New Approaches Towards Robust and Adaptive Speech Recognition"
"1867","47","2000","Regularized Winnow Methods"
"1868","39","2000","The Early Word Catches the Weights"
"1869","10","2000","Second Order Approximations for Probability Models"
"1870","3","2000","Position Variance, Recurrence and Perceptual Learning"
"1871","27","2000","A Tighter Bound for Graphical Models"
"1872","121","2000","Exact Solutions to Time-Dependent MDPs"
"1873","126","2000","Discovering Hidden Variables: A Structure-Based Approach"
"1874","24","2000","Dopamine Bonuses"
"1875","95","2000","Stability and Noise in Biochemical Switches"
"1876","4","2000","Processing of Time Series by Neural Circuits with Biologically Realistic Synaptic Dynamics"
"1877","160","2000","Mixtures of Gaussian Processes"
"1878","462","2000","Automatic Choice of Dimensionality for PCA"
"1879","284","2000","`N-Body' Problems in Statistical Learning"
"1880","407","2000","Overfitting in Neural Nets: Backpropagation, Conjugate Gradient, and Early Stopping"
"1881","7127","2000","Algorithms for Non-negative Matrix Factorization"
"1882","66","2000","Robust Reinforcement Learning"
"1883","86","2000","Learning Sparse Image Codes using a Wavelet Pyramid Architecture"
"1884","15","2000","Homeostasis in a Silicon Integrate and Fire Neuron"
"1885","2","2000","Combining ICA and Top-Down Attention for Robust Speech Recognition"
"1886","30","2000","Feature Correspondence: A Markov Chain Monte Carlo Approach"
"1887","322","2000","Propagation Algorithms for Variational Bayesian Learning"
"1888","80","2000","Recognizing Hand-written Digits Using Hierarchical Products of Experts"
"1889","65","2000","An Adaptive Metric Machine for Pattern Classification"
"1890","17","2000","A Productive, Systematic Framework for the Representation of Visual Structure"
"1891","31","2000","Universality and Individuality in a Neural Code"
"1892","17","2000","Four-legged Walking Gait Control Using a Neuromorphic Chip Interfaced to a Support Vector Learning Algorithm"
"1893","62","2000","Minimum Bayes Error Feature Selection for Continuous Speech Recognition"
"1894","22","2000","The Kernel Gibbs Sampler"
"1895","58","2000","Regularization with Dot-Product Kernels"
"1896","25","2000","Multiple Timescales of Adaptation in a Neural Code"
"1897","31","2000","Probabilistic Semantic Video Indexing"
"1898","6","2000","Partially Observable SDE Models for Image Sequence Recognition Tasks"
"1899","14","2000","Interactive Parts Model: An Application to Recognition of On-line Cursive Script"
"1900","17","2000","Convergence of Large Margin Separable Linear Classification"
"1901","159","2000","On a Connection between Kernel PCA and Metric Multidimensional Scaling"
"1902","18","2000","Analysis of Bit Error Probability of Direct-Sequence CDMA Multiuser Demodulators"
"1903","4","2000","Bayes Networks on Ice: Robotic Search for Antarctic Meteorites"
"1904","54","2001","Prodding the ROC Curve: Constrained Optimization of Classifier Performance"
"1905","31","2001","Convergence of Optimistic and Incremental Q-Learning"
"1906","248","2001","Global Coordination of Local Linear Models"
"1907","502","2001","Kernel Logistic Regression and the Import Vector Machine"
"1908","0","2001","A theory of neural integration in the head-direction system"
"1909","3","2001","An Efficient Clustering Algorithm Using Stochastic Association Model and Its Implementation Using Nanostructures"
"1910","69","2001","A Bayesian Network for Real-Time Musical Accompaniment"
"1911","75","2001","A Bayesian Model Predicts Human Parse Preference and Reading Times in Sentence Processing"
"1912","56","2001","Analog Soft-Pattern-Matching Classifier using Floating-Gate MOS Technology"
"1913","7","2001","Scaling Laws and Local Minima in Hebbian ICA"
"1914","397","2001","A Parallel Mixture of SVMs for Very Large Scale Problems"
"1915","0","2001","Exact differential equation population dynamics for integrate-and-fire neurons"
"1916","43","2001","Efficiency versus Convergence of Boolean Kernels for On-Line Learning Algorithms"
"1917","69","2001","An Efficient, Exact Algorithm for Solving Tree-Structured Graphical Games"
"1918","15","2001","Estimating the Reliability of ICA Projections"
"1919","77","2001","Batch Value Function Approximation via Support Vectors"
"1920","428","2001","Predictive Representations of State"
"1921","386","2001","Infinite Mixtures of Gaussian Process Experts"
"1922","0","2001","Grammar Transfer in a Second Order Recurrent Neural Network"
"1923","358","2001","On the Generalization Ability of On-Line Learning Algorithms"
"1924","12","2001","Modeling Temporal Structure in Classical Conditioning"
"1925","88","2001","Covariance Kernels from Bayesian Generative Models"
"1926","0","2001","Generating velocity tuning by asymmetric recurrent connections"
"1927","53","2001","Active Learning in the Drug Discovery Process"
"1928","553","2001","The Intelligent surfer: Probabilistic Combination of Link and Content Information in PageRank"
"1929","54","2001","Multiplicative Updates for Classification by Mixture Models"
"1930","24","2001","Speech Recognition with Missing Data using Recurrent Neural Nets"
"1931","628","2001","Fast and Robust Classification using Asymmetric AdaBoost and a Detector Cascade"
"1932","22","2001","Information Geometrical Framework for Analyzing Belief Propagation Decoder"
"1933","440","2001","Small-World Phenomena and the Dynamics of Information"
"1934","81","2001","A Dynamic HMM for On-line Segmentation of Sequential Data"
"1935","6","2001","Fragment Completion in Humans and Machines"
"1936","411","2001","A Generalization of Principal Components Analysis to the Exponential Family"
"1937","60","2001","Playing is believing: The role of beliefs in multi-agent learning"
"1938","10","2001","Unsupervised Learning of Human Motion Models"
"1939","205","2001","Boosting and Maximum Likelihood for Exponential Models"
"1940","67","2001","Generalizable Relational Binding from Coarse-coded Distributed Representations"
"1941","25","2001","Orientational and Geometric Determinants of Place and Head-direction"
"1942","481","2001","KLD-Sampling: Adaptive Particle Filters"
"1943","20","2001","Effective Size of Receptive Fields of Inferior Temporal Visual Cortex Neurons in Natural Scenes"
"1944","23","2001","Multi Dimensional ICA to Separate Correlated Sources"
"1945","1133","2001","A kernel method for multi-labelled classification"
"1946","11","2001","Information-Geometric Decomposition in Spike Analysis"
"1947","117","2001","Tree-based reparameterization for approximate inference on loopy graphs"
"1948","13","2001","A Variational Approach to Learning Curves"
"1949","22","2001","The Steering Approach for Multi-Criteria Reinforcement Learning"
"1950","0","2001","(Not) Bounding the True Error"
"1951","5","2001","Fast Parameter Estimation Using Green's Functions"
"1952","67","2001","The Unified Propagation and Scaling Algorithm"
"1953","125","2001","Minimax Probability Machine"
"1954","7","2001","Means, Correlations and Bounds"
"1955","12","2001","Switch Packet Arbitration via Queue-Learning"
"1956","27","2001","Active Portfolio-Management based on Error Correction Neural Networks"
"1957","95","2001","Direct value-approximation for factored MDPs"
"1958","13","2001","Efficient Resources Allocation for Markov Decision Processes"
"1959","717","2001","EM-DD: An Improved Multiple-Instance Learning Technique"
"1960","11","2001","Why Neuronal Dynamics Should Control Synaptic Learning Rules"
"1961","4","2001","Rates of Convergence of Performance Gradient Estimates Using Function Approximation and Bias in Reinforcement Learning"
"1962","117","2001","Blind Source Separation via Multinode Sparse Representation"
"1963","64","2001","Algorithmic Luckiness"
"1964","49","2001","Audio-Visual Sound Separation Via Hidden Markov Models"
"1965","23","2001","Correlation Codes in Neuronal Populations"
"1966","24","2001","Probabilistic principles in unsupervised learning of visual structure: human data and a model"
"1967","997","2001","On Kernel-Target Alignment"
"1968","102","2001","Reducing multiclass to binary by coupling probability estimates"
"1969","15","2001","Tempo tracking and rhythm quantization by sequential Monte Carlo"
"1970","22","2001","Spike timing and the coding of naturalistic sounds in a central auditory area of songbirds"
"1971","19","2001","Kernel Machines and Boolean Functions"
"1972","201","2001","Sampling Techniques for Kernel Methods"
"1973","185","2001","A New Discriminative Kernel From Probabilistic Models"
"1974","21","2001","The Fidelity of Local Ordinal Encoding"
"1975","57","2001","Motivated Reinforcement Learning"
"1976","53","2001","The Method of Quantum Clustering"
"1977","33","2001","Discriminative Direction for Kernel Classifiers"
"1978","6","2001","Intransitive Likelihood-Ratio Classifiers"
"1979","308","2001","PAC Generalization Bounds for Co-training"
"1980","39","2001","Group Redundancy Measures Reveal Redundancy Reduction in the Auditory Pathway"
"1981","610","2001","The Infinite Hidden Markov Model"
"1982","7","2001","Model Based Population Tracking and Automatic Detection of Distribution Changes"
"1983","9","2001","Neural Implementation of Bayesian Inference in Population Codes"
"1984","99","2001","Semi-supervised MarginBoost"
"1985","175","2001","Variance Reduction Techniques for Gradient Estimates in Reinforcement Learning"
"1986","15","2001","Learning Hierarchical Structures with Linear Relational Embedding"
"1987","209","2001","Entropy and Inference, Revisited"
"1988","38","2001","On the Concentration of Spectral Properties"
"1989","209","2001","K-Local Hyperplane and Convex Distance Nearest Neighbor Algorithms"
"1990","88","2001","Iterative Double Clustering for Unsupervised and Semi-Supervised Learning"
"1991","7","2001","The Emergence of Multiple Movement Units in the Presence of Noise and Feedback Delay"
"1992","101","2001","Probabilistic Inference of Hand Motion from Neural Activity in Motor Cortex"
"1993","11","2001","Perceptual Metamers in Stereoscopic Vision"
"1994","3465","2001","Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering"
"1995","9","2001","Matching Free Trees with Replicator Equations"
"1996","171","2001","Categorization by Learning and Combining Object Parts"
"1997","8","2001","Quantizing Density Estimators"
"1998","79","2001","Incorporating Invariances in Non-Linear Support Vector Machines"
"1999","2","2001","MIME: Mutual Information Minimization and Entropy Maximization for Bayesian Belief Propagation"
"2000","115","2001","Spectral Kernel Methods for Clustering"
"2001","47","2001","Face Recognition Using Kernel Methods"
"2002","146","2001","Thin Junction Trees"
"2003","1","2001","Bayesian Predictive Profiles With Applications to Retail Transaction Data"
"2004","169","2001","Grouping and dimensionality reduction by locally linear embedding"
"2005","6","2001","Generalization Performance of Some Learning Problems in Hilbert Functional Spaces"
"2006","5","2001","A Neural Oscillator Model of Auditory Selective Attention"
"2007","18","2001","Gaussian Process Regression with Mismatched Models"
"2008","65","2001","ALGONQUIN - Learning Dynamic Noise Models From Noisy Speech for Robust Speech Recognition"
"2009","17","2001","Modeling the Modulatory Effect of Attention on Human Spatial Vision"
"2010","5","2001","Product Analysis: Learning to Model Observations as Products of Hidden Variables"
"2011","7057","2001","On Spectral Clustering: Analysis and an algorithm"
"2012","13","2001","Improvisation and Learning"
"2013","0","2001","Asymptotic Universality for Learning Curves of Support Vector Machines"
"2014","21","2001","A Maximum-Likelihood Approach to Modeling Multisensory Enhancement"
"2015","49","2001","Hyperbolic Self-Organizing Maps for Semantic Navigation"
"2016","665","2001","Spectral Relaxation for K-means Clustering"
"2017","2","2001","A Quantitative Model of Counterfactual Reasoning"
"2018","138","2001","Learning Body Pose via Specialized Maps"
"2019","32","2001","Learning Discriminative Feature Transforms to Low Dimensions in Low Dimentions"
"2020","271","2001","The Concave-Convex Procedure (CCCP)"
"2021","457","2001","A Natural Policy Gradient"
"2022","30","2001","Citcuits for VLSI Implementation of Temporally Asymmetric Hebbian Learning"
"2023","13","2001","A Rotation and Translation Invariant Discrete Saliency Network"
"2024","19","2001","Estimating Car Insurance Premia: a Case Study in High-Dimensional Data Inference"
"2025","23","2001","A Sequence Kernel and its Application to Speaker Recognition"
"2026","10","2001","Constructing Distributed Representations Using Additive Clustering"
"2027","27","2001","Duality, Geometry, and Support Vector Regression"
"2028","128","2001","Orientation-Selective aVLSI Spiking Neurons"
"2029","98","2001","Characterizing Neural Gain Control using Spike-triggered Covariance"
"2030","82","2001","Modularity in the motor system: decomposition of muscle patterns as combinations of time-varying synergies"
"2031","98","2001","Grouping with Bias"
"2032","1","2001","Eye movements and the maturation of cortical orientation selectivity"
"2033","12","2001","A General Greedy Approximation Algorithm with Applications"
"2034","2","2001","The g Factor: Relating Distributions on Features to Distributions on Images"
"2035","7","2001","Bayesian morphometry of hippocampal cells suggests same-cell somatodendritic repulsion"
"2036","195","2001","Speech Recognition using SVMs"
"2037","27","2001","A Model of the Phonological Loop: Generalization and Binding"
"2038","48","2001","Grammatical Bigrams"
"2039","2","2001","Associative memory in realistic neuronal networks"
"2040","1976","2001","On Discriminative vs. Generative Classifiers: A comparison of logistic regression and naive Bayes"
"2041","69","2001","Distribution of Mutual Information"
"2042","41","2001","Fast, Large-Scale Transformation-Invariant Clustering"
"2043","34","2001","A Rational Analysis of Cognitive Control in a Speeded Discrimination Task"
"2044","791","2001","Online Learning with Kernels"
"2045","9","2001","Information-Geometrical Significance of Sparsity in Gallager Codes"
"2046","26","2001","Cobot: A Social Reinforcement Learning Agent"
"2047","0","2001","Computing Time Lower Bounds for Recurrent Sigmoidal Neural Networks"
"2048","260","2001","Linear-time inference in Hierarchical HMMs"
"2049","4","2001","Stabilizing Value Function Approximation with the BFBP Algorithm"
"2050","38","2001","TAP Gibbs Free Energy, Belief Propagation and Sparsity"
"2051","5","2001","Using Vocabulary Knowledge in Bayesian Multinomial Estimation"
"2052","28","2001","Rao-Blackwellised Particle Filtering via Data Augmentation"
"2053","11","2001","Reinforcement Learning and Time Perception -- a Model of Animal Experiments"
"2054","14","2001","Linking Motor Learning to Function Approximation: Learning in an Unlearnable Force Field"
"2055","679","2001","Pranking with Ranking"
"2056","37","2001","Sequential Noise Compensation by Sequential Monte Carlo Method"
"2057","23","2001","Incremental Learning and Selective Sampling via Parametric Optimization Framework for SVM"
"2058","1","2001","3 state neurons for contextual processing"
"2059","12","2001","Learning Lateral Interactions for Feature Binding and Sensory Segmentation"
"2060","157","2001","Reinforcement Learning with Long Short-Term Memory"
"2061","13","2001","A Hierarchical Model of Complex Cells in Visual Cortex for the Binocular Perception of Motion-in-Depth"
"2062","23","2001","Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines"
"2063","12","2001","Products of Gaussians"
"2064","224","2001","Dynamic Time-Alignment Kernel in Support Vector Machine"
"2065","257","2001","Analysis of Sparse Bayesian Learning"
"2066","38","2001","On the Convergence of Leveraging"
"2067","22","2001","Geometrical Singularities in the Neuromanifold of Multilayer Perceptrons"
"2068","0","2001","Causal Categorization with Bayes Nets"
"2069","3","2001","Optimising Synchronisation Times for Mobile Devices"
"2070","40","2001","Probabilistic Abstraction Hierarchies"
"2071","17","2001","Approximate Dynamic Programming via Linear Programming"
"2072","33","2001","Kernel Feature Spaces and Nonlinear Blind Souce Separation"
"2073","139","2001","Adaptive Sparseness Using Jeffreys Prior"
"2074","389","2001","Multiagent Planning with Factored MDPs"
"2075","70","2001","Natural Language Grammar Induction Using a Constituent-Context Model"
"2076","513","2001","Classifying Single Trial EEG: Towards Brain Computer Interfacing"
"2077","108","2001","Risk Sensitive Particle Filters"
"2078","11","2001","Learning Spike-Based Correlations and Conditional Probabilities in Silicon"
"2079","33","2001","Novel iteration schemes for the Cluster Variation Method"
"2080","6","2001","Receptive field structure of flow detectors for heading perception"
"2081","86","2001","Model-Free Least-Squares Policy Iteration"
"2082","35","2001","Contextual Modulation of Target Saliency"
"2083","36","2001","Bayesian time series classification"
"2084","115","2001","Adaptive Nearest Neighbor Classification Using Support Vector Machines"
"2085","8","2001","Escaping the Convex Hull with Extrapolated Vector Machines"
"2086","34","2001","ACh, Uncertainty, and Cortical Inference"
"2087","12","2001","The Noisy Euclidean Traveling Salesman Problem and Learning"
"2088","26","2001","Active Information Retrieval"
"2089","25014","2001","Latent Dirichlet Allocation"
"2090","684","2001","Partially labeled classification with Markov random walks"
"2091","9","2001","Transform-invariant Image Decomposition with Similarity Templates"
"2092","62","2001","Activity Driven Adaptive Stochastic Resonance"
"2093","1022","2001","Convolution Kernels for Natural Language"
"2094","38","2001","Agglomerative Multivariate Information Bottleneck"
"2095","76","2001","Very loopy belief propagation for unwrapping phase images"
"2096","147","2001","Incremental A*"
"2097","13","2001","Self-regulation Mechanism of Temporally Asymmetric Hebbian Plasticity"
"2098","5","2001","Relative Density Nets: A New Way to Combine Backpropagation with HMM's"
"2099","41","2001","Learning from Infinite Data in Finite Time"
"2100","149","2001","Learning a Gaussian Process Prior for Automatically Generating Music Playlists"
"2101","1","2002","An Estimation-Theoretic Framework for the Presentation of Multiple Stimuli"
"2102","18","2002","Topographic Map Formation by Silicon Growth Cones"
"2103","200","2002","PAC-Bayes & Margins"
"2104","98","2002","A Prototype for Automatic Recognition of Spontaneous Facial Actions"
"2105","120","2002","Stability-Based Model Selection"
"2106","59","2002","Discriminative Learning for Label Sequences via Boosting"
"2107","106","2002","VIBES: A Variational Inference Engine for Bayesian Networks"
"2108","63","2002","A Differential Semantics for Jointree Algorithms"
"2109","2","2002","Developing Topography and Ocular Dominance Using Two aVLSI Vision Sensors and a Neurotrophic Model of Plasticity"
"2110","4","2002","Learning a Forward Model of a Reflex"
"2111","75","2002","Nash Propagation for Loopy Graphical Games"
"2112","13","2002","A Note on the Representational Incompatibility of Function Approximation and Factored Dynamics"
"2113","530","2002","Cluster Kernels for Semi-Supervised Learning"
"2114","10","2002","Regularized Greedy Importance Sampling"
"2115","5","2002","A Model for Learning Variance Components of Natural Images"
"2116","38","2002","Combining Dimensions and Features in Similarity-Based Representations"
"2117","35","2002","Real Time Voice Processing with Audiovisual Feedback: Toward Autonomous Agents with Perfect Pitch"
"2118","25","2002","Prediction of Protein Topologies Using Generalized IOHMMs and RNNs"
"2119","63","2002","Neuromorphic Bisable VLSI Synapses with Spike-Timing-Dependent Plasticity"
"2120","48","2002","One-Class LP Classifiers for Dissimilarity Representations"
"2121","87","2002","On the Dirichlet Prior and Bayesian Regularization"
"2122","31","2002","Dyadic Classification Trees via Structural Risk Minimization"
"2123","68","2002","Dynamical Causal Learning"
"2124","108","2002","Feature Selection in Mixture-Based Clustering"
"2125","161","2002","Learning Sparse Topographic Representations with Products of Student-t Distributions"
"2126","256","2002","Inferring a Semantic Representation of Text via Cross-Language Correlation Analysis"
"2127","41","2002","Spike Timing-Dependent Plasticity in the Address Domain"
"2128","36","2002","The RA Scanner: Prediction of Rheumatoid Joint Inflammation Based on Laser Imaging"
"2129","25","2002","Recovering Articulated Model Topology from Observed Rigid Motion"
"2130","0","2002","Replay, Repair and Consolidation"
"2131","48","2002","Conditional Models on the Ranking Poset"
"2132","21","2002","Boosted Dyadic Kernel Discriminants"
"2133","303","2002","Using Manifold Stucture for Partially Labeled Classification"
"2134","20","2002","Speeding up the Parti-Game Algorithm"
"2135","14","2002","Learning About Multiple Objects in Images: Factorial Learning without Factorial Search"
"2136","156","2002","On the Complexity of Learning the Kernel Matrix"
"2137","106","2002","Feature Selection by Maximum Marginal Diversity"
"2138","20","2002","Automatic Derivation of Statistical Algorithms: The EM Family and Beyond"
"2139","20","2002","Shape Recipes: Scene Representations that Refer to the Image"
"2140","83","2002","A Convergent Form of Approximate Policy Iteration"
"2141","2","2002","Handling Missing Data with Variational Bayesian Learning of ICA"
"2142","26","2002","The Decision List Machine"
"2143","184","2002","Rational Kernels"
"2144","5","2002","Location Estimation with a Differential Update Network"
"2145","25","2002","Kernel-Based Extraction of Slow Features: Complex Cells Learn Disparity and Translation Invariance from Natural Images"
"2146","105","2002","A Model for Real-Time Computation in Generic Neural Microcircuits"
"2147","114","2002","Prediction and Semantic Association"
"2148","74","2002","Generalized² Linear² Models"
"2149","609","2002","Learning Attractor Landscapes for Learning Motor Primitives"
"2150","5","2002","Data-Dependent Bounds for Bayesian Mixture Methods"
"2151","1","2002","Branching Law for Axons"
"2152","935","2002","Global Versus Local Methods in Nonlinear Dimensionality Reduction"
"2153","33","2002","Clustering with the Fisher Score"
"2154","39","2002","An Information Theoretic Approach to the Functional Classification of Neurons"
"2155","94","2002","Learning Sparse Multiscale Image Representations"
"2156","6","2002","Dopamine Induced Bistability Enhances Signal Processing in Spiny Neurons"
"2157","126","2002","Theory-Based Causal Inference"
"2158","72","2002","Learning Graphical Models with Mercer Kernels"
"2159","7","2002","Forward-Decoding Kernel-Based Phone Recognition"
"2160","13","2002","Dynamic Bayesian Networks with Deterministic Latent Tables"
"2161","281","2002","Gaussian Process Priors with Uncertain Inputs Application to Multiple-Step Ahead Time Series Forecasting"
"2162","32","2002","Learning in Spiking Neural Assemblies"
"2163","19","2002","Annealing and the Rate Distortion Problem"
"2164","2","2002","Morton-Style Factorial Coding of Color in Primary Visual Cortex"
"2165","192","2002","Bayesian Monte Carlo"
"2166","142","2002","Value-Directed Compression of POMDPs"
"2167","22","2002","Incremental Gaussian Processes"
"2168","183","2002","Kernel Dependency Estimation"
"2169","373","2002","Binary Coding in Auditory Cortex"
"2170","10","2002","Using Tarjan's Red Rule for Fast Dependency Tree Construction"
"2171","172","2002","Stable Fixed Points of Loopy Belief Propagation Are Local Minima of the Bethe Free Energy"
"2172","2","2002","Modeling Midazolam's Effect on the Hippocampus and Recognition Memory"
"2173","208","2002","Learning Semantic Similarity"
"2174","1385","2002","Support Vector Machines for Multiple-Instance Learning"
"2175","77","2002","Going Metric: Denoising Pairwise Data"
"2176","16","2002","A Bilinear Model for Sparse Coding"
"2177","22","2002","Categorization Under Complexity: A Unified MDL Account of Human Learning of Regular and Irregular Categories"
"2178","563","2002","An Impossibility Theorem for Clustering"
"2179","94","2002","A Minimal Intervention Principle for Coordinated Movement"
"2180","488","2002","Fast Sparse Gaussian Process Methods: The Informative Vector Machine"
"2181","250","2002","Automatic Alignment of Local Representations"
"2182","7","2002","Critical Lines in Symmetry of Mixture Models and its Application to Component Splitting"
"2183","2","2002","A Neural Edge-Detection Model for Enhanced Auditory Sensitivity in Modulated Noise"
"2184","40","2002","Maximum Likelihood and the Information Bottleneck"
"2185","6","2002","Circuit Model of Short-Term Synaptic Dynamics"
"2186","468","2002","Recovering Intrinsic Images from a Single Image"
"2187","95","2002","Extracting Relevant Structures with Side Information"
"2188","349","2002","Identity Uncertainty and Citation Matching"
"2189","0","2002","Retinal Processing Emulation in a Programmable 2-Layer Analog Array Processor CMOS Chip"
"2190","69","2002","Adaptive Caching by Refetching"
"2191","19","2002","Adaptation and Unsupervised Learning"
"2192","37","2002","The Stability of Kernel Principal Components Analysis and its Relation to the Process Eigenspectrum"
"2193","71","2002","Learning to Perceive Transparency from the Statistics of Natural Scenes"
"2194","181","2002","Multiplicative Updates for Nonnegative Quadratic Programming in Support Vector Machines"
"2195","164","2002","How the Poverty of the Stimulus Solves the Poverty of the Stimulus"
"2196","232","2002","Intrinsic Dimension Estimation Using Packing Numbers"
"2197","6","2002","Classifying Patterns of Visual Motion - a Neuromorphic Approach"
"2198","289","2002","Constraint Classification for Multiclass Classification and Ranking"
"2199","44","2002","Bayesian Models of Inductive Generalization"
"2200","361","2002","Hyperkernels"
"2201","25","2002","Adaptive Classification by Variational Kalman Filtering"
"2202","42","2002","""Name That Song!"" A Probabilistic Approach to Querying on Music and Text"
"2203","205","2002","Reinforcement Learning to Play an Optimal Nash Equilibrium in Team Markov Games"
"2204","1","2002","Artefactual Structure from Least-Squares Multidimensional Scaling"
"2205","188","2002","Convergence Properties of Some Spike-Triggered Analysis Techniques"
"2206","10","2002","Learning to Classify Galaxy Shapes Using the EM Algorithm"
"2207","92","2002","An Asynchronous Hidden Markov Model for Audio-Visual Speech Recognition"
"2208","36","2002","Dynamic Structure Super-Resolution"
"2209","880","2002","Fast Exact Inference with a Factored Model for Natural Language Parsing"
"2210","3","2002","Analysis of Information in Speech Based on MANOVA"
"2211","8","2002","Margin-Based Algorithms for Information Filtering"
"2212","353","2002","Ranking with Large Margin Principle: Two Approaches"
"2213","2752","2002","Distance Metric Learning with Application to Clustering with Side-Information"
"2214","17","2002","Convergent Combinations of Reinforcement Learning with Linear Function Approximation"
"2215","235","2002","Margin Analysis of the LVQ Algorithm"
"2216","20","2002","Effective Dimension and Generalization of Kernel Learning"
"2217","282","2002","Mismatch String Kernels for SVM Protein Classification"
"2218","165","2002","A Maximum Entropy Approach to Collaborative Filtering in Dynamic, Sparse, High-Dimensional Domains"
"2219","473","2002","Adaptive Nonlinear System Identification with Echo State Networks"
"2220","27","2002","Spikernels: Embedding Spiking Neurons in Inner-Product Spaces"
"2221","59","2002","Independent Components Analysis through Product Density Estimation"
"2222","104","2002","FloatBoost Learning for Classification"
"2223","11","2002","Unsupervised Color Constancy"
"2224","340","2002","Real-Time Particle Filters"
"2225","44","2002","Self Supervised Boosting"
"2226","3","2002","Hidden Markov Model of Cortical Synaptic Plasticity: Derivation of the Learning Rule"
"2227","42","2002","Approximate Linear Programming for Average-Cost Dynamic Programming"
"2228","111","2002","Information Regularization with Partially Labeled Data"
"2229","234","2002","Learning with Multiple Labels"
"2230","120","2002","Interpreting Neural Response Variability as Monte Carlo Sampling of the Posterior"
"2231","52","2002","String Kernels, Fisher Kernels and Finite State Automata"
"2232","1","2002","Selectivity and Metaplasticity in a Unified Calcium-Dependent Model"
"2233","10","2002","Reconstructing Stimulus-Driven Neural Networks from Spike Times"
"2234","8","2002","Feature Selection and Classification on Matrix Data: From Large Margins to Small Covering Numbers"
"2235","11","2002","Rate Distortion Function in the Spin Glass State: A Toy Model"
"2236","432","2002","Fast Kernels for String and Tree Matching"
"2237","22","2002","Maximally Informative Dimensions: Analyzing Neural Responses to Natural Signals"
"2238","288","2002","Bayesian Image Super-Resolution"
"2239","30","2002","Half-Lives of EigenFlows for Spectral Clustering"
"2240","56","2002","Optimality of Reinforcement Learning Algorithms with Linear Function Approximation"
"2241","103","2002","Robust Novelty Detection with Single-Class MPM"
"2242","46","2002","Multiclass Learning by Probabilistic Embeddings"
"2243","75","2002","Transductive and Inductive Methods for Approximate Gaussian Process Regression"
"2244","26","2002","How to Combine Color and Shape Information for 3D Object Recognition: Kernels do the Trick"
"2245","1","2002","Mean Field Approach to a Probabilistic Model in Information Retrieval"
"2246","24","2002","Bias-Optimal Incremental Problem Solving"
"2247","915","2002","Stochastic Neighbor Embedding"
"2248","12","2002","Scaling of Probability-Based Optimization Algorithms"
"2249","9","2002","Adaptive Quantization and Density Estimation in Silicon"
"2250","77","2002","Minimax Differential Dynamic Programming: An Application to Robust Biped Walking"
"2251","150","2002","Exponential Family PCA for Belief Compression in POMDPs"
"2252","11","2002","Fast Transformation-Invariant Factor Analysis"
"2253","29","2002","Timing and Partial Observability in the Dopamine System"
"2254","195","2002","Derivative Observations in Gaussian Process Models of Dynamic Systems"
"2255","4","2002","Binary Tuning is Optimal for Neural Rate Coding with High Temporal Resolution"
"2256","20","2002","Coulomb Classifiers: Generalizing Support Vector Machines via an Analogy to Electrostatic Systems"
"2257","135","2002","Concurrent Object Recognition and Segmentation by Graph Partitioning"
"2258","42","2002","Automatic Acquisition and Efficient Representation of Syntactic Structures"
"2259","349","2002","Parametric Mixture Models for Multi-Labeled Text"
"2260","22","2002","Informed Projections"
"2261","112","2002","Learning to Detect Natural Image Boundaries Using Brightness and Texture"
"2262","0","2002","The Effect of Singularities in a Learning Machine when the True Parameters Do Not Lie on such Singularities"
"2263","46","2002","Application of Variational Bayesian Approach to Speech Recognition"
"2264","114","2002","Manifold Parzen Windows"
"2265","16","2002","Source Separation with a Sensor Array using Graphical Models and Subband Filtering"
"2266","114","2002","Graph-Driven Feature Extraction From Microarray Data Using Diffusion Kernels and Kernel CCA"
"2267","2","2002","Dynamical Constraints on Computing with Spike Timing in the Cortex"
"2268","44","2002","Concentration Inequalities for the Missing Mass and for Histogram Rule Error"
"2269","67","2002","Information Diffusion Kernels"
"2270","74","2002","Real-Time Monitoring of Complex Industrial Processes with Particle Filters"
"2271","15","2002","Discriminative Densities from Maximum Contrast Estimation"
"2272","91","2002","Fractional Belief Propagation"
"2273","71","2002","Nonparametric Representation of Policies and Value Functions: A Trajectory-Based Approach"
"2274","78","2002","Efficient Learning Equilibrium"
"2275","166","2002","Kernel Design Using Boosting"
"2276","19","2002","Discriminative Binaural Sound Localization"
