Author0,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,citations_average,predicted_citations
3.2508960573476706,2.956451612903226,2.806451612903226,,,,,,,,,,,,,,,,2.806451612903226,5.612903225806452
0.16129032258064516,0.16129032258064516,,,,,,,,,,,,,,,,,0.16129032258064516,0.16129032258064516
1.4516129032258065,1.4516129032258065,1.4516129032258065,4.514112903225806,,,,,,,,,,,,,,,1.4516129032258065,7.417338709677418
43.043010752688176,0.7096774193548387,,,,,,,,,,,,,,,,,0.7096774193548387,0.7096774193548387
0.0,,,,,,,,,,,,,,,,,,0.0,0.0
0.03225806451612903,0.03225806451612903,0.03225806451612903,,,,,,,,,,,,,,,,0.03225806451612903,0.06451612903225806
7.303143093465676,32.2284178187404,0.2903225806451613,7.303143093465676,,,,,,,,,,,,,,,0.2903225806451613,7.883788254755998
0.0967741935483871,0.0967741935483871,,,,,,,,,,,,,,,,,0.0967741935483871,0.0967741935483871
316.4078069377984,0.7915632754342432,8.417204301075268,0.4838709677419355,,,,,,,,,,,,,,,0.4838709677419355,9.38494623655914
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,,,,,,,,,,,,,,,0.3870967741935484,1.161290322580645
0.16129032258064516,0.16129032258064516,,,,,,,,,,,,,,,,,0.16129032258064516,0.16129032258064516
8.419354838709676,21.130972244292597,,,,,,,,,,,,,,,,,7.419354838709677,7.419354838709677
0.2992213570634038,12.494623655913982,,,,,,,,,,,,,,,,,0.16129032258064516,0.16129032258064516
316.8139516180207,3.5161290322580645,,,,,,,,,,,,,,,,,3.5161290322580645,3.5161290322580645
1.903225806451613,,,,,,,,,,,,,,,,,,1.903225806451613,1.903225806451613
1.0700778642936597,1.629475363346331,,,,,,,,,,,,,,,,,0.4838709677419355,0.4838709677419355
1.6129032258064515,,,,,,,,,,,,,,,,,,1.6129032258064515,1.6129032258064515
0.3548387096774194,0.3548387096774194,0.3548387096774194,,,,,,,,,,,,,,,,0.3548387096774194,0.7096774193548387
0.2258064516129032,,,,,,,,,,,,,,,,,,0.2258064516129032,0.2258064516129032
5.064516129032258,5.064516129032258,,,,,,,,,,,,,,,,,5.064516129032258,5.064516129032258
0.06451612903225806,,,,,,,,,,,,,,,,,,0.06451612903225806,0.06451612903225806
0.25806451612903225,0.25806451612903225,,,,,,,,,,,,,,,,,0.25806451612903225,0.25806451612903225
0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0
1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0
17.32510461359182,5.808602150537634,,,,,,,,,,,,,,,,,1.7419354838709675,1.7419354838709675
0.06451612903225806,,,,,,,,,,,,,,,,,,0.06451612903225806,0.06451612903225806
0.03225806451612903,0.03225806451612903,,,,,,,,,,,,,,,,,0.03225806451612903,0.03225806451612903
0.6774193548387096,,,,,,,,,,,,,,,,,,0.6774193548387096,0.6774193548387096
0.4838709677419355,0.4838709677419355,0.924347158218126,,,,,,,,,,,,,,,,0.4838709677419355,1.4082181259600615
6.469094185295506,,,,,,,,,,,,,,,,,,2.096774193548387,2.096774193548387
0.0,,,,,,,,,,,,,,,,,,0.0,0.0
1.0967741935483872,1.0967741935483872,,,,,,,,,,,,,,,,,1.0967741935483872,1.0967741935483872
0.8387096774193549,,,,,,,,,,,,,,,,,,0.8387096774193549,0.8387096774193549
3.5255311412394157,0.3548387096774194,,,,,,,,,,,,,,,,,0.3548387096774194,0.3548387096774194
0.06451612903225806,,,,,,,,,,,,,,,,,,0.06451612903225806,0.06451612903225806
36.39875380410153,3.4838709677419355,3.4838709677419355,,,,,,,,,,,,,,,,3.4838709677419355,6.967741935483871
23.269103477167995,126.296739103259,,,,,,,,,,,,,,,,,1.2580645161290325,1.2580645161290325
79.1230313281856,6.053187403993856,,,,,,,,,,,,,,,,,0.2258064516129032,0.2258064516129032
1.2325976230899829,,,,,,,,,,,,,,,,,,0.5483870967741935,0.5483870967741935
0.5483870967741935,12.508055040580068,0.9674347158218125,193.62927127007214,,,,,,,,,,,,,,,0.5483870967741935,195.14509308266815
0.12903225806451613,,,,,,,,,,,,,,,,,,0.12903225806451613,0.12903225806451613
0.6774193548387096,,,,,,,,,,,,,,,,,,0.6774193548387096,0.6774193548387096
0.5483870967741935,,,,,,,,,,,,,,,,,,0.5483870967741935,0.5483870967741935
0.06451612903225806,,,,,,,,,,,,,,,,,,0.06451612903225806,0.06451612903225806
2.6917103207425788,,,,,,,,,,,,,,,,,,0.12903225806451613,0.12903225806451613
0.2903225806451613,,,,,,,,,,,,,,,,,,0.2903225806451613,0.2903225806451613
5.381720430107526,5.738863287250383,2.548387096774193,9.582869855394883,,,,,,,,,,,,,,,2.548387096774193,14.679644048943267
0.12903225806451613,,,,,,,,,,,,,,,,,,0.12903225806451613,0.12903225806451613
0.5830346475507766,,,,,,,,,,,,,,,,,,0.06451612903225806,0.06451612903225806
75.13333333333334,158.60000000000002,,,,,,,,,,,,,,,,,75.13333333333334,75.13333333333334
22.73333333333333,22.73333333333333,22.73333333333333,22.73333333333333,,,,,,,,,,,,,,,22.73333333333333,68.19999999999999
0.2333333333333333,0.2333333333333333,0.2333333333333333,,,,,,,,,,,,,,,,0.2333333333333333,0.4666666666666666
1.6400000000000001,,,,,,,,,,,,,,,,,,1.6,1.6
0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,0.16666666666666666,0.16666666666666666
16.728364389233956,13.433333333333335,,,,,,,,,,,,,,,,,13.433333333333335,13.433333333333335
