index,citations,year,Author0,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,citations_average
2089,25014,2001,David M. Blei,Andrew Y. Ng,Michael I. Jordan,,,,,,,,,,,,,,,,1471.4117647058824
2090,684,2001,Martin Szummer,Tommi Jaakkola,,,,,,,,,,,,,,,,,40.23529411764706
2091,9,2001,Chris Stauffer,Erik Miller,Kinh Tieu,,,,,,,,,,,,,,,,0.5294117647058824
2093,1022,2001,Michael Collins,Nigel Duffy,,,,,,,,,,,,,,,,,60.11764705882353
2094,38,2001,Noam Slonim,Nir Friedman,Naftali Tishby,,,,,,,,,,,,,,,,2.235294117647059
2095,76,2001,Brendan J. Frey,Ralf Koetter,Nemanja Petrovic,,,,,,,,,,,,,,,,4.470588235294118
2096,147,2001,S. Koenig,M. Likhachev,,,,,,,,,,,,,,,,,8.647058823529411
2097,13,2001,N. Matsumoto,M. Okada,,,,,,,,,,,,,,,,,0.7647058823529411
2098,5,2001,Andrew D. Brown,Geoffrey E. Hinton,,,,,,,,,,,,,,,,,0.29411764705882354
2101,1,2002,Christian W. Eurich,,,,,,,,,,,,,,,,,,0.0625
2103,200,2002,John Langford,John Shawe-Taylor,,,,,,,,,,,,,,,,,12.5
2107,106,2002,Christopher M. Bishop,David Spiegelhalter,John Winn,,,,,,,,,,,,,,,,6.625
2110,4,2002,Bernd Porr,Florentin Wörgötter,,,,,,,,,,,,,,,,,0.25
2112,13,2002,Eric Allender,Sanjeev Arora,Michael Kearns,Cristopher Moore,Alexander Russell,,,,,,,,,,,,,,0.8125
2114,10,2002,Finnegan Southey,Dale Schuurmans,Ali Ghodsi,,,,,,,,,,,,,,,,0.625
2115,5,2002,Yan Karklin,Michael S. Lewicki,,,,,,,,,,,,,,,,,0.3125
2116,38,2002,Daniel J. Navarro,Michael D. Lee,,,,,,,,,,,,,,,,,2.375
2117,35,2002,Lawrence K. Saul,Daniel D. Lee,Charles L. Isbell,Yann L. Cun,,,,,,,,,,,,,,,2.1875
2119,63,2002,Giacomo Indiveri,,,,,,,,,,,,,,,,,,3.9375
2120,48,2002,Elzbieta Pekalska,David M.J. Tax,Robert Duin,,,,,,,,,,,,,,,,3.0
2121,87,2002,Harald Steck,Tommi S. Jaakkola,,,,,,,,,,,,,,,,,5.4375
2122,31,2002,Clayton Scott,Robert Nowak,,,,,,,,,,,,,,,,,1.9375
2123,68,2002,David Danks,Thomas L. Griffiths,Joshua B. Tenenbaum,,,,,,,,,,,,,,,,4.25
2124,108,2002,Martin H. Law,Anil K. Jain,Mário Figueiredo,,,,,,,,,,,,,,,,6.75
2125,161,2002,Max Welling,Simon Osindero,Geoffrey E. Hinton,,,,,,,,,,,,,,,,10.0625
2126,256,2002,Alexei Vinokourov,Nello Cristianini,John Shawe-Taylor,,,,,,,,,,,,,,,,16.0
2128,36,2002,Anton Schwaighofer,Volker Tresp,Peter Mayer,Alexander K. Scheel,Gerhard A. Müller,,,,,,,,,,,,,,2.25
2130,0,2002,Szabolcs Káli,Peter Dayan,,,,,,,,,,,,,,,,,0.0
2131,48,2002,Guy Lebanon,John D. Lafferty,,,,,,,,,,,,,,,,,3.0
2133,303,2002,Mikhail Belkin,Partha Niyogi,,,,,,,,,,,,,,,,,18.9375
2136,156,2002,Olivier Bousquet,Daniel Herrmann,,,,,,,,,,,,,,,,,9.75
2138,20,2002,Bernd Fischer,Johann Schumann,Wray Buntine,Alexander G. Gray,,,,,,,,,,,,,,,1.25
2139,20,2002,William T. Freeman,Antonio Torralba,,,,,,,,,,,,,,,,,1.25
2140,83,2002,Theodore J. Perkins,Doina Precup,,,,,,,,,,,,,,,,,5.1875
2141,2,2002,Kwokleung Chan,Te-Won Lee,Terrence J. Sejnowski,,,,,,,,,,,,,,,,0.125
2142,26,2002,Marina Sokolova,Mario Marchand,Nathalie Japkowicz,John S. Shawe-taylor,,,,,,,,,,,,,,,1.625
2143,184,2002,Corinna Cortes,Patrick Haffner,Mehryar Mohri,,,,,,,,,,,,,,,,11.5
2144,5,2002,Ali Rahimi,Trevor Darrell,,,,,,,,,,,,,,,,,0.3125
2146,105,2002,Wolfgang Maass,Thomas Natschläger,Henry Markram,,,,,,,,,,,,,,,,6.5625
2147,114,2002,Thomas L. Griffiths,Mark Steyvers,,,,,,,,,,,,,,,,,7.125
2148,74,2002,Geoffrey J. Gordon,,,,,,,,,,,,,,,,,,4.625
2149,609,2002,Auke J. Ijspeert,Jun Nakanishi,Stefan Schaal,,,,,,,,,,,,,,,,38.0625
2151,1,2002,Dmitri B. Chklovskii,Armen Stepanyants,,,,,,,,,,,,,,,,,0.0625
2154,39,2002,Elad Schneidman,William Bialek,Michael Ii,,,,,,,,,,,,,,,,2.4375
2156,6,2002,Aaron J. Gruber,Sara A. Solla,James C. Houk,,,,,,,,,,,,,,,,0.375
2157,126,2002,Joshua B. Tenenbaum,Thomas L. Griffiths,,,,,,,,,,,,,,,,,7.875
2159,7,2002,Shantanu Chakrabartty,Gert Cauwenberghs,,,,,,,,,,,,,,,,,0.4375
2160,13,2002,David Barber,,,,,,,,,,,,,,,,,,0.8125
2162,32,2002,David Barber,,,,,,,,,,,,,,,,,,2.0
2163,19,2002,Albert E. Parker,Tomá\v S. Gedeon,Alexander G. Dimitrov,,,,,,,,,,,,,,,,1.1875
2167,22,2002,Joaquin Quiñonero Candela,Ole Winther,,,,,,,,,,,,,,,,,1.375
2168,183,2002,Jason Weston,Olivier Chapelle,Vladimir Vapnik,André Elisseeff,Bernhard Schölkopf,,,,,,,,,,,,,,11.4375
2169,373,2002,Michael R. Deweese,Anthony M. Zador,,,,,,,,,,,,,,,,,23.3125
2171,172,2002,Tom Heskes,,,,,,,,,,,,,,,,,,10.75
2175,77,2002,Volker Roth,Julian Laub,Klaus-Robert Müller,Joachim M. Buhmann,,,,,,,,,,,,,,,4.8125
2176,16,2002,David B. Grimes,Rajesh P. N. Rao,,,,,,,,,,,,,,,,,1.0
2178,563,2002,Jon M. Kleinberg,,,,,,,,,,,,,,,,,,35.1875
2180,488,2002,Ralf Herbrich,Neil D. Lawrence,Matthias Seeger,,,,,,,,,,,,,,,,30.5
2182,7,2002,Kenji Fukumizu,Shotaro Akaho,Shun-ichi Amari,,,,,,,,,,,,,,,,0.4375
2189,0,2002,R. Carmona,F. Jiménez-garrido,R. Dominguez-castro,S. Espejo,A. Rodriguez-vázquez,,,,,,,,,,,,,,0.0
2191,19,2002,Peter Dayan,Maneesh Sahani,Gregoire Deback,,,,,,,,,,,,,,,,1.1875
2192,37,2002,Christopher Williams,John S. Shawe-taylor,,,,,,,,,,,,,,,,,2.3125
2193,71,2002,Anat Levin,Assaf Zomet,Yair Weiss,,,,,,,,,,,,,,,,4.4375
2194,181,2002,Fei Sha,Lawrence K. Saul,Daniel D. Lee,,,,,,,,,,,,,,,,11.3125
2197,6,2002,Jakob Heinzle,Alan A. Stocker,,,,,,,,,,,,,,,,,0.375
2200,361,2002,Cheng S. Ong,Robert C. Williamson,Alex J. Smola,,,,,,,,,,,,,,,,22.5625
2201,25,2002,Peter Sykacek,Stephen J. Roberts,,,,,,,,,,,,,,,,,1.5625
2202,42,2002,Brochu Eric,Nando de Freitas,,,,,,,,,,,,,,,,,2.625
2203,205,2002,Xiaofeng Wang,Tuomas Sandholm,,,,,,,,,,,,,,,,,12.8125
2204,1,2002,Nicholas P. Hughes,David Lowe,,,,,,,,,,,,,,,,,0.0625
2206,10,2002,Sergey Kirshner,Igor V. Cadez,Padhraic Smyth,Chandrika Kamath,,,,,,,,,,,,,,,0.625
2207,92,2002,Samy Bengio,,,,,,,,,,,,,,,,,,5.75
2208,36,2002,Amos J. Storkey,,,,,,,,,,,,,,,,,,2.25
2211,8,2002,Nicolò Cesa-bianchi,Alex Conconi,Claudio Gentile,,,,,,,,,,,,,,,,0.5
2212,353,2002,Amnon Shashua,Anat Levin,,,,,,,,,,,,,,,,,22.0625
2213,2752,2002,Eric P. Xing,Michael I. Jordan,Stuart J. Russell,Andrew Y. Ng,,,,,,,,,,,,,,,172.0
2214,17,2002,Ralf Schoknecht,Artur Merke,,,,,,,,,,,,,,,,,1.0625
2215,235,2002,Koby Crammer,Ran Gilad-bachrach,Amir Navot,Naftali Tishby,,,,,,,,,,,,,,,14.6875
2220,27,2002,Lavi Shpigelman,Yoram Singer,Rony Paz,Eilon Vaadia,,,,,,,,,,,,,,,1.6875
2221,59,2002,Trevor Hastie,Rob Tibshirani,,,,,,,,,,,,,,,,,3.6875
2223,11,2002,Kinh Tieu,Erik G. Miller,,,,,,,,,,,,,,,,,0.6875
2224,340,2002,Cody Kwok,Dieter Fox,Marina Meila,,,,,,,,,,,,,,,,21.25
2225,44,2002,Max Welling,Richard S. Zemel,Geoffrey E. Hinton,,,,,,,,,,,,,,,,2.75
2227,42,2002,Benjamin V. Roy,Daniela D. Farias,,,,,,,,,,,,,,,,,2.625
2228,111,2002,Martin Szummer,Tommi S. Jaakkola,,,,,,,,,,,,,,,,,6.9375
2229,234,2002,Rong Jin,Zoubin Ghahramani,,,,,,,,,,,,,,,,,14.625
2230,120,2002,Patrik O. Hoyer,Aapo Hyvärinen,,,,,,,,,,,,,,,,,7.5
2232,1,2002,Luk Chong Yeung,Brian S. Blais,Leon N. Cooper,Harel Z. Shouval,,,,,,,,,,,,,,,0.0625
2235,11,2002,Tatsuto Murayama,Masato Okada,,,,,,,,,,,,,,,,,0.6875
2236,432,2002,Alex J. Smola,S.v.n. Vishwanathan,,,,,,,,,,,,,,,,,27.0
2237,22,2002,Tatyana Sharpee,Nicole C. Rust,William Bialek,,,,,,,,,,,,,,,,1.375
2239,30,2002,Chakra Chennubhotla,Allan D. Jepson,,,,,,,,,,,,,,,,,1.875
2240,56,2002,Ralf Schoknecht,,,,,,,,,,,,,,,,,,3.5
2241,103,2002,Laurent E. Ghaoui,Michael I. Jordan,Gert R. Lanckriet,,,,,,,,,,,,,,,,6.4375
2244,26,2002,B. Caputo,Gy. Dorkó,,,,,,,,,,,,,,,,,1.625
2245,1,2002,Bin Wu,K. Wong,David Bodoff,,,,,,,,,,,,,,,,0.0625
2246,24,2002,Jürgen Schmidhuber,,,,,,,,,,,,,,,,,,1.5
2248,12,2002,J. L. Shapiro,,,,,,,,,,,,,,,,,,0.75
2249,9,2002,David Hsu,Seth Bridges,Miguel Figueroa,Chris Diorio,,,,,,,,,,,,,,,0.5625
2251,150,2002,Nicholas Roy,Geoffrey J. Gordon,,,,,,,,,,,,,,,,,9.375
2252,11,2002,Anitha Kannan,Nebojsa Jojic,Brendan Frey,,,,,,,,,,,,,,,,0.6875
2254,195,2002,E. Solak,R. Murray-smith,W. E. Leithead,D. J. Leith,Carl E. Rasmussen,,,,,,,,,,,,,,12.1875
2256,20,2002,Sepp Hochreiter,Michael C. Mozer,Klaus Obermayer,,,,,,,,,,,,,,,,1.25
2257,135,2002,Stella X. Yu,Ralph Gross,Jianbo Shi,,,,,,,,,,,,,,,,8.4375
2258,42,2002,Zach Solan,Eytan Ruppin,David Horn,Shimon Edelman,,,,,,,,,,,,,,,2.625
2259,349,2002,Naonori Ueda,Kazumi Saito,,,,,,,,,,,,,,,,,21.8125
2260,22,2002,David Cohn,,,,,,,,,,,,,,,,,,1.375
2261,112,2002,David R. Martin,Charless C. Fowlkes,Jitendra Malik,,,,,,,,,,,,,,,,7.0
2263,46,2002,Shinji Watanabe,Yasuhiro Minami,Atsushi Nakamura,Naonori Ueda,,,,,,,,,,,,,,,2.875
2264,114,2002,Pascal Vincent,Yoshua Bengio,,,,,,,,,,,,,,,,,7.125
2267,2,2002,Arunava Banerjee,Alexandre Pouget,,,,,,,,,,,,,,,,,0.125
2268,44,2002,Luis E. Ortiz,David A. McAllester,,,,,,,,,,,,,,,,,2.75
2269,67,2002,Guy Lebanon,John D. Lafferty,,,,,,,,,,,,,,,,,4.1875
2270,74,2002,Rubén Morales-Menéndez,Nando de Freitas,David Poole,,,,,,,,,,,,,,,,4.625
2272,91,2002,Wim Wiegerinck,Tom Heskes,,,,,,,,,,,,,,,,,5.6875
2274,78,2002,Ronen I. Brafman,Moshe Tennenholtz,,,,,,,,,,,,,,,,,4.875
2275,166,2002,Koby Crammer,Joseph Keshet,Yoram Singer,,,,,,,,,,,,,,,,10.375
2276,19,2002,Ehud Ben-reuven,Yoram Singer,,,,,,,,,,,,,,,,,1.1875
2277,127,2002,Peter Meinicke,Matthias Kaper,Florian Hoppe,Manfred Heumann,Helge Ritter,,,,,,,,,,,,,,7.9375
2279,128,2002,Maneesh Sahani,Jennifer F. Linden,,,,,,,,,,,,,,,,,8.0
2281,211,2002,Yves Grandvalet,Stéphane Canu,,,,,,,,,,,,,,,,,13.1875
2282,38,2002,Martin J. Wainwright,Tommi S. Jaakkola,Alan S. Willsky,,,,,,,,,,,,,,,,2.375
2284,140,2002,W Wu,M. J. Black,Y. Gao,M. Serruya,A. Shaikhouni,J. P. Donoghue,Elie Bienenstock,,,,,,,,,,,,8.75
2285,47,2002,Khashayar Rohanimanesh,Sridhar Mahadevan,,,,,,,,,,,,,,,,,2.9375
2289,55,2002,Thomas Strohmann,Gregory Z. Grudic,,,,,,,,,,,,,,,,,3.4375
2291,16,2002,Jarmo Hurri,Aapo Hyvärinen,,,,,,,,,,,,,,,,,1.0
2292,522,2002,Matthew Brand,,,,,,,,,,,,,,,,,,32.625
2295,14,2002,Michail G. Lagoudakis,Ronald Parr,,,,,,,,,,,,,,,,,0.875
2296,40,2002,Eric P. Xing,Michael I. Jordan,Richard M. Karp,Stuart J. Russell,,,,,,,,,,,,,,,2.5
2299,10,2002,Seth Bridges,Miguel Figueroa,Chris Diorio,David Hsu,,,,,,,,,,,,,,,0.625
2300,30,2002,Guoning Hu,Deliang Wang,,,,,,,,,,,,,,,,,1.875
2301,0,2002,Alexandre R. Romariz,Kelvin Wagner,,,,,,,,,,,,,,,,,0.0
2304,29,2002,David A. Ross,Richard S. Zemel,,,,,,,,,,,,,,,,,1.8125
2308,276,2003,Liam Paninski,Eero P. Simoncelli,Jonathan W. Pillow,,,,,,,,,,,,,,,,18.4
2310,902,2003,Haifeng Li,Tao Jiang,Keshu Zhang,,,,,,,,,,,,,,,,60.13333333333333
2311,85,2003,Charles Rosenberg,Alok Ladsariya,Tom Minka,,,,,,,,,,,,,,,,5.666666666666667
2312,181,2003,William M. Campbell,Joseph P. Campbell,Douglas A. Reynolds,Douglas A. Jones,Timothy R. Leek,,,,,,,,,,,,,,12.066666666666666
2313,38,2003,Michael J. Quinlan,Stephan K. Chalup,Richard H. Middleton,,,,,,,,,,,,,,,,2.533333333333333
2315,15,2003,Yuuya Sugita,Jun Tani,,,,,,,,,,,,,,,,,1.0
2316,63,2003,Claire Monteleoni,Tommi S. Jaakkola,,,,,,,,,,,,,,,,,4.2
2318,5,2003,Saori C. Tanaka,Kenji Doya,Go Okada,Kazutaka Ueda,Yasumasa Okamoto,Shigeto Yamawaki,,,,,,,,,,,,,0.3333333333333333
2321,149,2003,Gal Chechik,Amir Globerson,Naftali Tishby,Yair Weiss,,,,,,,,,,,,,,,9.933333333333334
2325,531,2003,Matthew Schultz,Thorsten Joachims,,,,,,,,,,,,,,,,,35.4
2326,483,2003,Francis R. Bach,Michael I. Jordan,,,,,,,,,,,,,,,,,32.2
2327,94,2003,Nicholas P. Hughes,Lionel Tarassenko,Stephen J. Roberts,,,,,,,,,,,,,,,,6.266666666666667
2328,115,2003,Michael Fink,Pietro Perona,,,,,,,,,,,,,,,,,7.666666666666667
2329,132,2003,Allan Borodin,Ran El-Yaniv,Vincent Gogan,,,,,,,,,,,,,,,,8.8
2330,145,2003,Volker Roth,Tilman Lange,,,,,,,,,,,,,,,,,9.666666666666666
2332,41,2003,Noam Shental,Assaf Zomet,Tomer Hertz,Yair Weiss,,,,,,,,,,,,,,,2.7333333333333334
2333,448,2003,Kevin P. Murphy,Antonio Torralba,William T. Freeman,,,,,,,,,,,,,,,,29.866666666666667
2335,133,2003,Anton Schwaighofer,Marian Grigoras,Volker Tresp,Clemens Hoffmann,,,,,,,,,,,,,,,8.866666666666667
2338,7,2003,Virginia Sa,,,,,,,,,,,,,,,,,,0.4666666666666667
2339,3,2003,Scott A. Beardsley,Lucia M. Vaina,,,,,,,,,,,,,,,,,0.2
2340,29,2003,Artur Garcez,Luis C. Lamb,,,,,,,,,,,,,,,,,1.9333333333333333
2341,33,2003,Tomohiro Nakatani,Masato Miyoshi,Keisuke Kinoshita,,,,,,,,,,,,,,,,2.2
2344,3279,2003,Denny Zhou,Olivier Bousquet,Thomas N. Lal,Jason Weston,Bernhard Schölkopf,,,,,,,,,,,,,,218.6
2347,7,2003,Liam Paninski,,,,,,,,,,,,,,,,,,0.4666666666666667
2348,27,2003,Koji Tsuda,Gunnar Rätsch,,,,,,,,,,,,,,,,,1.8
2349,4,2003,Kohei Hatano,Manfred K. Warmuth,,,,,,,,,,,,,,,,,0.26666666666666666
2351,69,2003,Jakob J. Verbeek,Sam T. Roweis,Nikos Vlassis,,,,,,,,,,,,,,,,4.6
2353,27,2003,Song Wang,Toshiro Kubota,Jeffrey M. Siskind,,,,,,,,,,,,,,,,1.8
2355,302,2003,H. J. Kim,Michael I. Jordan,Shankar Sastry,Andrew Y. Ng,,,,,,,,,,,,,,,20.133333333333333
2356,64,2003,Jason Palmer,Bhaskar D. Rao,David P. Wipf,,,,,,,,,,,,,,,,4.266666666666667
2357,170,2003,Leonid Sigal,Michael Isard,Benjamin H. Sigelman,Michael J. Black,,,,,,,,,,,,,,,11.333333333333334
2358,63,2003,Thore Graepel,Ralf Herbrich,,,,,,,,,,,,,,,,,4.2
2360,36,2003,Michael I. Jordan,Martin J. Wainwright,,,,,,,,,,,,,,,,,2.4
2361,8,2003,Vincent Bonin,Valerio Mante,Matteo Carandini,,,,,,,,,,,,,,,,0.5333333333333333
2363,68,2003,Daniel B. Neill,Andrew W. Moore,,,,,,,,,,,,,,,,,4.533333333333333
2366,1,2003,Claudio Fanti,Marzia Polito,Pietro Perona,,,,,,,,,,,,,,,,0.06666666666666667
2367,975,2003,Thomas L. Griffiths,Michael I. Jordan,Joshua B. Tenenbaum,David M. Blei,,,,,,,,,,,,,,,65.0
2368,157,2003,Jason Weston,Bernhard Schölkopf,Gökhan H. Bakir,,,,,,,,,,,,,,,,10.466666666666667
2371,8,2003,Woojae Kim,Daniel J. Navarro,Mark A. Pitt,In J. Myung,,,,,,,,,,,,,,,0.5333333333333333
2372,138,2003,Tijl D. Bie,Nello Cristianini,,,,,,,,,,,,,,,,,9.2
2377,44,2003,Ciamac C. Moallemi,Benjamin V. Roy,,,,,,,,,,,,,,,,,2.933333333333333
2379,5,2003,Yu Zhou,Steven G. Mason,Gary E. Birch,,,,,,,,,,,,,,,,0.3333333333333333
2381,199,2003,Ofer Dekel,Yoram Singer,Christopher D. Manning,,,,,,,,,,,,,,,,13.266666666666667
2382,208,2003,Pascal Poupart,Craig Boutilier,,,,,,,,,,,,,,,,,13.866666666666667
2383,202,2003,Edward Snelson,Zoubin Ghahramani,Carl E. Rasmussen,,,,,,,,,,,,,,,,13.466666666666667
2385,26,2003,Matthew R. Rudary,Satinder P. Singh,,,,,,,,,,,,,,,,,1.7333333333333334
2388,12,2003,Salvador Ruiz-correa,Linda G. Shapiro,Marina Meila,Gabriel Berson,,,,,,,,,,,,,,,0.8
2390,5,2003,XuanLong Nguyen,Michael I. Jordan,,,,,,,,,,,,,,,,,0.3333333333333333
2392,18,2003,Thomas Natschläger,Wolfgang Maass,,,,,,,,,,,,,,,,,1.2
2393,59,2003,Aaron C. Courville,Geoffrey J. Gordon,David S. Touretzky,Nathaniel D. Daw,,,,,,,,,,,,,,,3.933333333333333
2394,11,2003,Xiaofeng Wang,Tuomas Sandholm,,,,,,,,,,,,,,,,,0.7333333333333333
2395,51,2003,Arnab Nilim,Laurent El Ghaoui,,,,,,,,,,,,,,,,,3.4
2396,1,2003,Brian J. Fischer,Charles H. Anderson,,,,,,,,,,,,,,,,,0.06666666666666667
2399,5,2003,David Kauchak,Sanjoy Dasgupta,,,,,,,,,,,,,,,,,0.3333333333333333
2401,63,2003,Justin Werfel,Xiaohui Xie,H. S. Seung,,,,,,,,,,,,,,,,4.2
2402,27,2003,Vladimir Vovk,Glenn Shafer,Ilia Nouretdinov,,,,,,,,,,,,,,,,1.8
2403,855,2003,Victor Lavrenko,R. Manmatha,Jiwoon Jeon,,,,,,,,,,,,,,,,57.0
2405,71,2003,Charles Kemp,Thomas L. Griffiths,Sean Stromsten,Joshua B. Tenenbaum,,,,,,,,,,,,,,,4.733333333333333
2408,145,2003,J. A. Bagnell,Sham M. Kakade,Jeff G. Schneider,Andrew Y. Ng,,,,,,,,,,,,,,,9.666666666666666
2410,48,2003,Bob Ricks,Dan Ventura,,,,,,,,,,,,,,,,,3.2
2411,431,2003,Pedro J. Moreno,Purdy P. Ho,Nuno Vasconcelos,,,,,,,,,,,,,,,,28.733333333333334
2413,734,2003,Denny Zhou,Jason Weston,Arthur Gretton,Olivier Bousquet,Bernhard Schölkopf,,,,,,,,,,,,,,48.93333333333333
2414,19,2003,Kazuyuki Samejima,Kenji Doya,Yasumasa Ueda,Minoru Kimura,,,,,,,,,,,,,,,1.2666666666666666
2416,10,2003,Tong Zhang,,,,,,,,,,,,,,,,,,0.6666666666666666
2417,25,2003,Nicoleta Roman,Deliang Wang,Guy J. Brown,,,,,,,,,,,,,,,,1.6666666666666667
2418,13,2003,Denis V. Chigirev,William Bialek,,,,,,,,,,,,,,,,,0.8666666666666667
2419,59,2003,Liva Ralaivola,Florence D'alché-buc,,,,,,,,,,,,,,,,,3.933333333333333
2420,328,2003,Ingo Steinwart,,,,,,,,,,,,,,,,,,21.866666666666667
2421,125,2003,Xuerui Wang,Rebecca Hutchinson,Tom M. Mitchell,,,,,,,,,,,,,,,,8.333333333333334
2422,788,2003,Greg Hamerly,Charles Elkan,,,,,,,,,,,,,,,,,52.53333333333333
2423,13,2003,Nathan Srebro,Tommi S. Jaakkola,,,,,,,,,,,,,,,,,0.8666666666666667
2424,50,2003,David Ferguson,Aaron Morris,Dirk Hähnel,Christopher Baker,Zachary Omohundro,Carlos Reverte,Scott Thayer,Charles Whittaker,William Whittaker,Wolfram Burgard,Sebastian Thrun,,,,,,,,3.3333333333333335
2430,18,2003,Clayton Scott,Robert Nowak,,,,,,,,,,,,,,,,,1.2
2432,20,2003,Adria Bofill-i-petit,Alan F. Murray,,,,,,,,,,,,,,,,,1.3333333333333333
2433,7,2003,Maneesh Sahani,,,,,,,,,,,,,,,,,,0.4666666666666667
2434,22,2003,James T. Kwok,Brian Mak,Simon Ho,,,,,,,,,,,,,,,,1.4666666666666666
2435,17,2003,Reid R. Harrison,,,,,,,,,,,,,,,,,,1.1333333333333333
2438,557,2003,Maxim Likhachev,Geoffrey J. Gordon,Sebastian Thrun,,,,,,,,,,,,,,,,37.13333333333333
2439,9,2003,Joelle Pineau,Geoffrey J. Gordon,Sebastian Thrun,,,,,,,,,,,,,,,,0.6
2440,19,2003,Jeff Bondy,Ian Bruce,Suzanna Becker,Simon Haykin,,,,,,,,,,,,,,,1.2666666666666666
2441,147,2003,Jianxin Wu,James M. Rehg,Matthew D. Mullin,,,,,,,,,,,,,,,,9.8
2442,112,2003,D. Philipona,J.k. O'regan,J.-p. Nadal,Olivier Coenen,,,,,,,,,,,,,,,7.466666666666667
2445,90,2003,G.C. Littlewort,M.S. Bartlett,I.R. Fasel,J. Chenu,T. Kanda,H. Ishiguro,J.R. Movellan,,,,,,,,,,,,6.0
2447,902,2003,Ji Zhu,Saharon Rosset,Robert Tibshirani,Trevor J. Hastie,,,,,,,,,,,,,,,60.13333333333333
2448,1060,2003,Yoshua Bengio,Jean-françcois Paiement,Pascal Vincent,Olivier Delalleau,Nicolas L. Roux,Marie Ouimet,,,,,,,,,,,,,70.66666666666667
2449,255,2003,Christopher J. Paciorek,Mark J. Schervish,,,,,,,,,,,,,,,,,17.0
2450,39,2003,Yuanqing Li,Shun-ichi Amari,Sergei Shishkin,Jianting Cao,Fanji Gu,Andrzej S. Cichocki,,,,,,,,,,,,,2.6
2451,13,2003,Peter Dayan,Michael Häusser,Michael London,,,,,,,,,,,,,,,,0.8666666666666667
2452,0,2003,Sung C. Jun,Barak A. Pearlmutter,,,,,,,,,,,,,,,,,0.0
2454,95,2003,Lyndsey C. Pickup,Stephen J. Roberts,Andrew Zisserman,,,,,,,,,,,,,,,,6.333333333333333
2456,7,2003,Nathan A. Dunn,John S. Conery,Shawn R. Lockery,,,,,,,,,,,,,,,,0.4666666666666667
2457,15,2003,Reto Wyss,Paul F. Verschure,,,,,,,,,,,,,,,,,1.0
2459,48,2003,Natalia H. Gardiol,Leslie P. Kaelbling,,,,,,,,,,,,,,,,,3.2
2460,0,2003,Anuj Srivastava,Washington Mio,Xiuwen Liu,Eric Klassen,,,,,,,,,,,,,,,0.0
2461,493,2003,Ben Taskar,Ming-fai Wong,Pieter Abbeel,Daphne Koller,,,,,,,,,,,,,,,32.86666666666667
2462,23,2003,Francesco Tenore,Ralph Etienne-Cummings,M. A. Lewis,,,,,,,,,,,,,,,,1.5333333333333334
2466,17,2003,Cynthia Rudin,Ingrid Daubechies,Robert E. Schapire,,,,,,,,,,,,,,,,1.1333333333333333
2467,71,2003,John C. Platt,,,,,,,,,,,,,,,,,,4.733333333333333
2468,14,2003,Max Welling,Andriy Mnih,Geoffrey E. Hinton,,,,,,,,,,,,,,,,0.9333333333333333
2470,230,2003,Rajat Raina,Yirong Shen,Andrew McCallum,Andrew Y. Ng,,,,,,,,,,,,,,,15.333333333333334
2471,17,2003,Kenji Fukumizu,Francis R. Bach,Michael I. Jordan,,,,,,,,,,,,,,,,1.1333333333333333
2472,20,2003,Jun Suzuki,Yutaka Sasaki,Eisaku Maeda,,,,,,,,,,,,,,,,1.3333333333333333
2476,43,2003,Mark Girolami,Ata Kabán,,,,,,,,,,,,,,,,,2.8666666666666667
2477,103,2003,Alan Fern,Sungwook Yoon,Robert Givan,,,,,,,,,,,,,,,,6.866666666666666
2478,71,2003,Alice X. Zheng,Michael I. Jordan,Ben Liblit,Alex Aiken,,,,,,,,,,,,,,,4.733333333333333
2479,4,2003,Yuval Aviel,David Horn,Moshe Abeles,,,,,,,,,,,,,,,,0.26666666666666666
2482,19,2003,Fang Fang,Daniel Kersten,Paul R. Schrater,Alan L. Yuille,,,,,,,,,,,,,,,1.2666666666666666
2483,76,2003,Pedro F. Felzenszwalb,Daniel P. Huttenlocher,Jon M. Kleinberg,,,,,,,,,,,,,,,,5.066666666666666
2484,32,2003,Zach Solan,David Horn,Eytan Ruppin,Shimon Edelman,,,,,,,,,,,,,,,2.1333333333333333
2488,23,2003,Maneesh Sahani,Srikantan S. Nagarajan,,,,,,,,,,,,,,,,,1.5333333333333334
2489,3,2003,Thore Graepel,Ralf Herbrich,Andriy Kharechko,John S. Shawe-taylor,,,,,,,,,,,,,,,0.2
2490,13,2003,Claudio Gentile,,,,,,,,,,,,,,,,,,0.8666666666666667
2493,209,2003,Deva Ramanan,David A. Forsyth,,,,,,,,,,,,,,,,,13.933333333333334
2494,91,2003,Yuan Qi,Tom Minka,,,,,,,,,,,,,,,,,6.066666666666666
2496,14,2003,Bernd Porr,Ausra Saudargiene,Florentin Wörgötter,,,,,,,,,,,,,,,,0.9333333333333333
2497,37,2003,Matthias H. Hennig,Florentin Wörgötter,,,,,,,,,,,,,,,,,2.466666666666667
2499,495,2003,Corinna Cortes,Mehryar Mohri,,,,,,,,,,,,,,,,,33.0
2501,9,2003,Matthew Brand,,,,,,,,,,,,,,,,,,0.6
