index,citations,year,Affiliation0,Affiliation1,Affiliation2,Affiliation3,Affiliation4,Affiliation5,Affiliation6,Affiliation7,Affiliation8,Affiliation9,citations_average
154,34,1988,"Professor, Niels Bohr Institute, University of Copenhagen, Universitetsparken'",,,,,,,,,,1.1333333333333333
157,234,1988,,,,,,,,,,,7.8
158,3,1988,,,,,,,,,,,0.1
163,32,1988,,The University of Tokyo',,,,,,,,,1.0666666666666667
164,67,1988,,,,,,,,,,,2.2333333333333334
165,13,1988,,National Renewable Energy Laboratory',,,,,,,,,0.43333333333333335
167,188,1988,,,,,,,,,,,6.266666666666667
169,3,1988,New Jersey Institute of Technology',,,,,,,,,,0.1
171,12,1988,,,,,,,,,,,0.4
172,11,1988,,,,,,,,,,,0.36666666666666664
173,11,1988,Rutgers University - Newark',,,,,,,,,,0.36666666666666664
175,21,1988,Professor of Electrical and Computer Engineering',,,,,,,,,,0.7
176,5,1988,,,,,,,,,,,0.16666666666666666
177,51,1988,"Professor of Cognitive Science, Professor of Informatics & Computing, Indiana University'",,,,,,,,,,1.7
178,32,1988,,"Electrical & Computer Engineering, University of Iowa'","Professor, Computer Science, University of California Irvine'",,,,,,,,1.0666666666666667
180,231,1988,,,,,,,,,,,7.7
181,19,1988,,,,,,,,,,,0.6333333333333333
182,794,1988,,,,,,,,,,,26.466666666666665
183,15,1988,,,,,,,,,,,0.5
184,75,1989,,,,,,,,,,,2.586206896551724
186,5,1989,,,,,,,,,,,0.1724137931034483
187,4026,1989,"Professor Emeritus, Language Technologies and Computer Science, Carnegie Mellon\xc2\xa0\xe2\x80\xa6'","Research Faculty, Psychology Department, Carnegie Mellon University'",,,,,,,,,138.82758620689654
189,29,1989,,,,,,,,,,,1.0
191,31,1989,,,,,,,,,,,1.0689655172413792
192,10,1989,,,,,,,,,,,0.3448275862068966
194,4,1989,,,,,,,,,,,0.13793103448275862
195,61,1989,,,,,,,,,,,2.103448275862069
196,3,1989,,,,,,,,,,,0.10344827586206896
197,18,1989,,,,,,,,,,,0.6206896551724138
200,35,1989,,,,,,,,,,,1.206896551724138
203,12,1989,,,,,,,,,,,0.41379310344827586
207,0,1989,"Professor, University of California, Irvine'",,Trinity University',,,,,,,,0.0
209,33,1989,,,,,,,,,,,1.1379310344827587
214,7,1989,,,,,,,,,,,0.2413793103448276
215,12,1989,,,,,,,,,,,0.41379310344827586
217,4,1989,,,stanford university',,,,,,,,0.13793103448275862
218,165,1989,"Professor of EECS and Professor of Statistics, University of California, Berkeley'","Assistant Professor, University of Colorado Colorado Springs'",,,,,,,,,5.689655172413793
219,13,1989,,,,,,,,,,,0.4482758620689655
221,102,1989,,,,,,,,,,,3.5172413793103448
222,347,1989,,,,,,,,,,,11.96551724137931
223,43,1989,,,,,,,,,,,1.4827586206896552
225,4,1989,,,"Professor of Psychology, Co-Director of Princeton Neuroscience Institute, Princeton\xc2\xa0\xe2\x80\xa6'",,,,,,,,0.13793103448275862
227,168,1989,,,,,,,,,,,5.793103448275862
228,13,1989,,,,,,,,,,,0.4482758620689655
230,103,1989,,,,,,,,,,,3.5517241379310347
231,20,1989,,,,,,,,,,,0.6896551724137931
232,84,1989,,,,,,,,,,,2.896551724137931
233,35,1989,"Professor of Computer Science and Neuroscience, Tel Aviv University'",,,,,,,,,,1.206896551724138
235,4,1989,"Professor, U. Montreal (Computer Sc. & Op. Res.), Mila, CIFAR, CRM, IVADO, REPARTI\xc2\xa0\xe2\x80\xa6'","Research Scientist, Google Brain'",Computational biologist',,,,,,,,0.13793103448275862
237,7,1989,,,,,,,,,,,0.2413793103448276
238,40,1989,,"Professor of Electrical Engineering, University of Oxford'",,,"Professor, Korea advanced Institute of Science and Technology'",,,,,,1.3793103448275863
239,3,1989,,,,,,,,,,,0.10344827586206896
240,37,1989,Johns Hopkins Bloomberg School of Public Health',,,,,,,,,,1.2758620689655173
241,28,1989,,,,,,,,,,,0.9655172413793104
243,16,1989,,,,,,,,,,,0.5517241379310345
244,72,1989,,,,,"Engineering, computer science, physics, mathematics'",,"North-West University, South Africa'",,,,2.4827586206896552
245,50,1989,"Department of Biology, University of Copenhagen'",,,,,,,,,,1.7241379310344827
246,17,1989,,,,,,,,,,,0.5862068965517241
248,16,1989,,,,,,,,,,,0.5517241379310345
249,12,1989,"Courant Institute, New York University'",Western Sydney University & Digital Health CRC',,,,,,,,,0.41379310344827586
250,2596,1989,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York\xc2\xa0\xe2\x80\xa6'",,"Professor, Northwestern University'",,,,,,,,89.51724137931035
251,1,1989,,ATR',,,,,,,,,0.034482758620689655
252,5,1989,,,,,,,,,,,0.1724137931034483
256,11,1989,,,,,,,,,,,0.3793103448275862
257,2076,1989,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York\xc2\xa0\xe2\x80\xa6'",,,,,,,,,,71.58620689655173
258,68,1989,,"Professor of Neuroscience, Columbia University'",,,,,,,,,2.3448275862068964
261,237,1989,,,,,,,,,,,8.172413793103448
262,30,1989,,,,,,,,,,,1.0344827586206897
263,29,1989,,,,,,,,,,,1.0
265,64,1989,Professor of Biomedical Engineering and Neuroscience',Chief Scientist and President',,,,,,,,,2.206896551724138
266,206,1989,,,,,,,,,,,7.103448275862069
272,4,1989,,,,,,,,,,,0.13793103448275862
273,136,1989,,,,,,,,,,,4.689655172413793
277,3,1989,Google',,,,,,,,,,0.10344827586206896
280,204,1989,,,NEC Laboratories America',,,,,,,,7.0344827586206895
281,65,1989,,,,,,,,,,,2.2413793103448274
282,59,1989,,,,,,,,,,,2.0344827586206895
284,204,1989,,,,,,,,,,,7.0344827586206895
285,0,1990,"Chief, Cancer Data Science Lab (CDSL), NCI/NIH'",,,,,,,,,,0.0
286,22,1990,"Professor of Electrical Engineering, University of Oxford'",,,,"Professor of Cardiovascular Physics, Newcastle University, UK'",,,,,,0.7857142857142857
287,25,1990,,,,,,,,,,,0.8928571428571429
288,17,1990,,,,,,,,,,,0.6071428571428571
289,1,1990,,,,,,,,,,,0.03571428571428571
294,6,1990,,,,,,,,,,,0.21428571428571427
295,24,1990,,,,,,,,,,,0.8571428571428571
296,133,1990,,,,,,,,,,,4.75
297,14,1990,,,,,,,,,,,0.5
299,5,1990,,,,,,,,,,,0.17857142857142858
302,570,1990,,,,,,,,,,,20.357142857142858
304,28,1990,,,,,,,,,,,1.0
306,8,1990,,,,,,,,,,,0.2857142857142857
308,40,1990,,,,,,,,,,,1.4285714285714286
309,39,1990,"Prof Comp Science, Maynooth University'",,,,,,,,,,1.3928571428571428
310,101,1990,"Head of AI Lab., Professor of Computer Science, Meiji University'",,,,,,,,,,3.607142857142857
311,0,1990,"Northeastern University, Department of Communication Sciences and Disorders'",,,,,,,,,,0.0
313,8,1990,,,,,,,,,,,0.2857142857142857
318,3,1990,,,,,,,,,,,0.10714285714285714
320,44,1990,,,,,,,,,,,1.5714285714285714
323,0,1990,"Professor of Computer Science, Western Michigan University'","Professor of Computer Science, Graz University of Technology'",,,,,,,,,0.0
324,1,1990,,,,,,,,,,,0.03571428571428571
326,1,1990,,,,,,,,,,,0.03571428571428571
327,11,1990,,,,,,,,,,,0.39285714285714285
328,7,1990,"Professor of Electrical and Computer Engineering, NCSU'",,,,,,,,,,0.25
329,26,1990,,,,,,,,,,,0.9285714285714286
330,66,1990,,,,,,,,,,,2.357142857142857
331,13,1990,"Department of Biology, University of Copenhagen'",,,,,,,,,,0.4642857142857143
332,18,1990,,Rutgers University - Newark',,,,,,,,,0.6428571428571429
333,32,1990,,,,,,,,,,,1.1428571428571428
334,47,1990,,,,,,,,,,,1.6785714285714286
337,47,1990,,,,,,,,,,,1.6785714285714286
339,9,1990,,,,,,,,,,,0.32142857142857145
340,17,1990,University of Cambridge',,"Professor of Engineering, Computing and Physics Indiana University'",,,,,,,,0.6071428571428571
342,9,1990,"Professor, Computer Science, University of California Irvine'",,,,,,,,,,0.32142857142857145
344,104,1990,,Professor Sorbonne University',,,,,,,,,3.7142857142857144
345,34,1990,,,University of Ottawa',,,,,,,,1.2142857142857142
349,9,1990,Ludwig Maximilian University of Munich / M\xc3\xbcnchen (LMU) and Siemens AG',,,,,,,,,,0.32142857142857145
351,172,1990,,,,,,,,,,,6.142857142857143
353,27,1990,,,,,,,,,,,0.9642857142857143
355,5,1990,University of Kalyani',,,,,,,,,,0.17857142857142858
357,30,1990,"Professor, Fakult\xc3\xa4t IV - Electrical Engineering and Computer Science, Technische\xc2\xa0\xe2\x80\xa6'","Professor of Neuroinformatics, Bielefeld University'","Professor of Physics, University of Illinois at Urbana-Champaign'",,,,,,,,1.0714285714285714
358,10,1990,"New York, NY'",,,,,,,,,,0.35714285714285715
360,3,1990,,,,,,,,,,,0.10714285714285714
361,60,1990,"Professor of Computer Science, the Hebrew University of Jerusalem'",,,,,,,,,,2.142857142857143
362,42,1990,,,,,,,,,,,1.5
363,435,1990,,Columbia University',,,,,,,,,15.535714285714286
364,59,1990,"DeepMind and Dept of Computing Science, University of Alberta'",,,,,,,,,,2.107142857142857
368,4,1990,"PRT Inc., President & Professor Emeritus of Electrical Engineering, SMU'",,,,,,,,,,0.14285714285714285
369,2,1990,,,,,,,,,,,0.07142857142857142
370,16,1990,,,,,,,,,,,0.5714285714285714
371,257,1990,,,,,,,,,,,9.178571428571429
372,191,1990,"Assistant Professor, University of Colorado Colorado Springs'","Professor of EECS and Professor of Statistics, University of California, Berkeley'",,,,,,,,,6.821428571428571
373,123,1990,,,,,,,,,,,4.392857142857143
374,307,1990,"Professor Emeritus, Language Technologies and Computer Science, Carnegie Mellon\xc2\xa0\xe2\x80\xa6'",,,,,,,,,,10.964285714285714
376,15,1990,,,,,,,,,,,0.5357142857142857
377,3,1990,,MIT Computer Science and Artificial Intelligence Laboratory',,,,Director',,,,,0.10714285714285714
378,45,1990,,,,,,,,,,,1.6071428571428572
379,67,1990,,"Research Specialist (retired), CS Division, UC Berkeley'","Dean, School of Computer Science, Carnegie Mellon'",Chief Scientist and President',,,,,,,2.392857142857143
380,41,1990,,,,,,,,,,,1.4642857142857142
383,132,1990,,,,,,,,,,,4.714285714285714
384,34,1990,Stanford',,,,,,,,,,1.2142857142857142
386,2,1990,UCLA',Princeton University',,,,,,,,,0.07142857142857142
388,20,1990,,,,,,,,,,,0.7142857142857143
389,1,1990,,,,,,,,,,,0.03571428571428571
390,26,1990,,,,,,,,,,,0.9285714285714286
393,37,1990,"Professor of Computer Science, Australian National University; Distinguished Researcher\xc2\xa0\xe2\x80\xa6'",,,,,,,,,,1.3214285714285714
395,7,1990,,,Chief Scientist and President',,,,,,,,0.25
397,4,1990,,,,,,,,,,,0.14285714285714285
398,1,1990,"Professor Emeritus, School of ECE & Dept. of Statistical Sciences, Cornell University;\xc2\xa0\xe2\x80\xa6'",,,,,,,,,,0.03571428571428571
399,27,1990,"Professor of Ellectrical and Computer Engineering, University of Maryland'",,,,,,,,,,0.9642857142857143
400,6,1990,Fukuoka Dental college',,,,,,,,,,0.21428571428571427
402,135,1990,,,,,,,,,,,4.821428571428571
404,9,1990,,,,,,,,,,,0.32142857142857145
405,84,1990,,,,,,,,,,,3.0
406,2,1990,,,,,,,,,,,0.07142857142857142
408,15,1990,,,,,,,,,,,0.5357142857142857
409,3,1990,,,Brandeis University',,,,,,,,0.10714285714285714
410,53,1990,,Chief Scientist and President',,,,,,,,,1.8928571428571428
411,16,1990,Professor of Biomedical Engineering and Neuroscience',,,,,,,,,,0.5714285714285714
412,36,1990,"Professor, University of California, Irvine'",,,,,,,,,,1.2857142857142858
413,6,1990,,,,,,,,,,,0.21428571428571427
414,807,1990,,,,,,,,,,,28.821428571428573
415,15,1990,,,,,,,,,,,0.5357142857142857
417,8,1990,"Provost Professor, Indiana University'",,,,,,,,,,0.2857142857142857
419,4,1990,"Professor of Computer Science, University of California Irvine'",,,,,,,,,,0.14285714285714285
420,16,1990,Johns Hopkins University. Previously: California Institute of Technology; Universite de\xc2\xa0\xe2\x80\xa6',,Chief Scientist and President',,,,,,,,0.5714285714285714
422,115,1990,IBM Research',,,,,,,,,,4.107142857142857
423,3,1990,,Ecole Polytechnique Federale de Lausanne',,,,,,,,,0.10714285714285714
